fecha,valor
2010-07-29,706
2010-07-30,721
2010-08-02,700
2010-08-03,711
2010-08-04,684
2010-08-05,688
2010-08-06,685
2010-08-09,666
2010-08-10,671
2010-08-11,686
2010-08-12,689
2010-08-13,685
2010-08-16,705
2010-08-17,691
2010-08-18,697
2010-08-19,706
2010-08-20,708
2010-08-23,704
2010-08-24,741
2010-08-25,766
2010-08-26,792
2010-08-27,771
2010-08-30,774
2010-08-31,778
2010-09-01,742
2010-09-02,727
2010-09-03,704
2010-09-07,726
2010-09-08,734
2010-09-09,729
2010-09-10,729
2010-09-13,717
2010-09-14,701
2010-09-15,683
2010-09-16,669
2010-09-17,677
2010-09-20,675
2010-09-21,693
2010-09-22,697
2010-09-23,713
2010-09-24,694
2010-09-27,691
2010-09-28,696
2010-09-29,693
2010-09-30,689
2010-10-01,677
2010-10-04,683
2010-10-05,661
2010-10-06,667
2010-10-07,661
2010-10-08,643
2010-10-12,603
2010-10-13,586
2010-10-14,598
2010-10-15,593
2010-10-18,599
2010-10-19,618
2010-10-20,620
2010-10-21,623
2010-10-22,620
2010-10-25,605
2010-10-26,596
2010-10-27,545
2010-10-28,539
2010-10-29,543
2010-11-01,547
2010-11-02,551
2010-11-03,532
2010-11-04,521
2010-11-05,514
2010-11-08,526
2010-11-09,529
2010-11-10,533
2010-11-12,544
2010-11-15,542
2010-11-16,581
2010-11-17,569
2010-11-18,548
2010-11-19,543
2010-11-22,550
2010-11-23,560
2010-11-24,533
2010-11-26,533
2010-11-29,569
2010-11-30,597
2010-12-01,563
2010-12-02,548
2010-12-03,543
2010-12-06,544
2010-12-07,513
2010-12-08,521
2010-12-09,521
2010-12-10,521
2010-12-13,521
2010-12-14,511
2010-12-15,529
2010-12-16,529
2010-12-17,547
2010-12-20,528
2010-12-21,523
2010-12-22,507
2010-12-23,501
2010-12-27,500
2010-12-28,493
2010-12-29,499
2010-12-30,498
2010-12-31,507
2011-01-03,493
2011-01-04,489
2011-01-05,483
2011-01-06,486
2011-01-07,503
2011-01-10,502
2011-01-11,488
2011-01-12,478
2011-01-13,479
2011-01-14,485
2011-01-18,475
2011-01-19,495
2011-01-20,489
2011-01-21,493
2011-01-24,485
2011-01-25,503
2011-01-26,499
2011-01-27,508
2011-01-28,555
2011-01-31,552
2011-02-01,525
2011-02-02,517
2011-02-03,522
2011-02-04,518
2011-02-07,518
2011-02-08,513
2011-02-09,530
2011-02-10,527
2011-02-11,534
2011-02-14,544
2011-02-15,554
2011-02-16,549
2011-02-17,538
2011-02-18,533
2011-02-22,559
2011-02-23,571
2011-02-24,588
2011-02-25,573
2011-02-28,580
2011-03-01,590
2011-03-02,571
2011-03-03,554
2011-03-04,563
2011-03-07,558
2011-03-08,547
2011-03-09,561
2011-03-10,575
2011-03-11,574
2011-03-14,580
2011-03-15,597
2011-03-16,608
2011-03-17,590
2011-03-18,591
2011-03-21,577
2011-03-22,582
2011-03-23,563
2011-03-24,549
2011-03-25,535
2011-03-28,538
2011-03-29,544
2011-03-30,535
2011-03-31,539
2011-04-01,513
2011-04-04,515
2011-04-05,518
2011-04-06,513
2011-04-07,514
2011-04-08,507
2011-04-11,508
2011-04-12,525
2011-04-13,525
2011-04-14,528
2011-04-15,529
2011-04-18,540
2011-04-19,547
2011-04-20,541
2011-04-21,542
2011-04-25,547
2011-04-26,564
2011-04-27,567
2011-04-28,563
2011-04-29,555
2011-05-02,546
2011-05-03,555
2011-05-04,564
2011-05-05,582
2011-05-06,577
2011-05-09,588
2011-05-10,584
2011-05-11,586
2011-05-12,567
2011-05-13,579
2011-05-16,588
2011-05-17,594
2011-05-18,579
2011-05-19,576
2011-05-20,577
2011-05-23,590
2011-05-24,591
2011-05-25,587
2011-05-26,600
2011-05-27,595
2011-05-31,592
2011-06-01,609
2011-06-02,597
2011-06-03,597
2011-06-06,597
2011-06-07,592
2011-06-08,602
2011-06-09,587
2011-06-10,590
2011-06-13,596
2011-06-14,574
2011-06-15,597
2011-06-16,625
2011-06-17,628
2011-06-20,622
2011-06-21,614
2011-06-22,611
2011-06-23,629
2011-06-24,636
2011-06-27,628
2011-06-28,607
2011-06-29,597
2011-06-30,568
2011-07-01,556
2011-07-05,565
